db_name,hex,h,s,v
brilliant_rose,#ff55a3,0.923529411764706,0.6666666666666667,1.0
brink_pink,#fb607f,0.9666666666666668,0.6175298804780877,0.984313725490196
british_racing_green,#004225,0.4267676767676767,1.0,0.2588235294117647
bronze,#cd7f32,0.0827956989247311,0.7560975609756098,0.803921568627451
brown_traditional,#964b00,0.0833333333333333,1.0,0.5882352941176471
brown_web,#a52a2a,0.0,0.7454545454545455,0.6470588235294118
bubble_gum,#ffc1cc,0.9704301075268816,0.2431372549019608,1.0
bubbles,#e7feff,0.5069444444444444,0.0941176470588235,1.0
buff,#f0dc82,0.1363636363636363,0.4583333333333333,0.9411764705882352
bulgarian_rose,#480607,0.9974747474747476,0.9166666666666664,0.2823529411764706
burgundy,#800020,0.9583333333333334,1.0,0.5019607843137255
burlywood,#deb887,0.0938697318007662,0.3918918918918919,0.8705882352941177
burnt_orange,#c50,0.0694444444444444,1.0,0.8
burnt_sienna,#e97451,0.0383771929824561,0.6523605150214592,0.9137254901960784
burnt_umber,#8a3324,0.0245098039215686,0.7391304347826086,0.5411764705882353
byzantine,#bd33a4,0.8635265700483092,0.7301587301587302,0.7411764705882353
byzantium,#702963,0.863849765258216,0.6339285714285715,0.4392156862745098
cadet,#536872,0.5537634408602151,0.2719298245614035,0.4470588235294118
cadet_blue,#5f9ea0,0.5051282051282051,0.40625,0.6274509803921569
cadet_grey,#91a3b0,0.5698924731182796,0.1761363636363636,0.6901960784313725
cadmium_green,#006b3c,0.4267912772585669,1.0,0.4196078431372549
cadmium_orange,#ed872d,0.0781249999999999,0.810126582278481,0.9294117647058824
cadmium_red,#e30022,0.97503671071953,1.0,0.8901960784313725
cadmium_yellow,#fff600,0.1607843137254902,1.0,1.0
caf_au_lait,#a67b5b,0.0711111111111111,0.4518072289156626,0.6509803921568628
caf_noir,#4b3621,0.0833333333333333,0.5599999999999999,0.2941176470588235
cal_poly_green,#1e4d2b,0.3794326241134751,0.6103896103896104,0.3019607843137254
cambridge_blue,#a3c1ad,0.388888888888889,0.155440414507772,0.7568627450980392
camel,#c19a6b,0.0910852713178294,0.4455958549222797,0.7568627450980392
cameo_pink,#efbbcc,0.9455128205128204,0.2175732217573222,0.9372549019607844
camouflage_green,#78866b,0.2530864197530864,0.2014925373134328,0.5254901960784314
canary_yellow,#ffef00,0.1562091503267973,1.0,1.0
candy_apple_red,#ff0800,0.0052287581699346,1.0,1.0
candy_pink,#e4717a,0.9869565217391304,0.5043859649122807,0.8941176470588236
capri,#00bfff,0.5418300653594771,1.0,1.0
caput_mortuum,#592720,0.0204678362573099,0.6404494382022472,0.3490196078431372
cardinal,#c41e3a,0.9718875502008032,0.846938775510204,0.7686274509803922
caribbean_green,#0c9,0.4583333333333333,1.0,0.8
carmine,#960018,0.9733333333333334,1.0,0.5882352941176471
carmine_m_p,#d70040,0.9503875968992248,1.0,0.8431372549019608
carmine_pink,#eb4c42,0.009861932938856,0.7191489361702127,0.9215686274509804
carmine_red,#ff0038,0.9633986928104576,1.0,1.0
carnation_pink,#ffa6c9,0.9344569288389514,0.3490196078431372,1.0
carnelian,#b31b1b,0.0,0.8491620111731845,0.7019607843137254
carolina_blue,#99badd,0.5857843137254902,0.3076923076923077,0.8666666666666667
carrot_orange,#ed9121,0.0915032679738562,0.8607594936708861,0.9294117647058824
catalina_blue,#062a78,0.6140350877192983,0.95,0.4705882352941176
ceil,#92a1cf,0.6256830601092896,0.2946859903381643,0.8117647058823529
celadon,#ace1af,0.3427672955974842,0.2355555555555555,0.8823529411764706
celadon_blue,#007ba7,0.5439121756487025,1.0,0.6549019607843137
celadon_green,#2f847c,0.4843137254901961,0.6439393939393939,0.5176470588235295
celeste_colour,#b2ffff,0.5,0.3019607843137255,1.0
celestial_blue,#4997d0,0.5703703703703703,0.6490384615384616,0.8156862745098039
cerise,#de3163,0.9518304431599228,0.7792792792792793,0.8705882352941177
cerise_pink,#ec3b83,0.9322033898305084,0.7499999999999999,0.9254901960784314
cerulean,#007ba7,0.5439121756487025,1.0,0.6549019607843137
cerulean_blue,#2a52be,0.6216216216216216,0.7789473684210527,0.7450980392156863
cerulean_frost,#6d9bc3,0.5775193798449613,0.441025641025641,0.7647058823529411
cg_blue,#007aa5,0.5434343434343435,1.0,0.6470588235294118
cg_red,#e03c31,0.0104761904761904,0.78125,0.8784313725490196
chamoisee,#a0785a,0.0714285714285714,0.4374999999999999,0.6274509803921569
